Country Name,0
Country Code,1
Indicator Name,2
Indicator Code,3
1960,4
1961,5
1962,6
1963,7
1964,8
1965,9
1966,10
1967,11
1968,12
1969,13
1970,14
1971,15
1972,16
1973,17
1974,18
1975,19
1976,20
1977,21
1978,22
1979,23
1980,24
1981,25
1982,26
1983,27
1984,28
1985,29
1986,30
1987,31
1988,32
1989,33
1990,34
1991,35
1992,36
1993,37
1994,38
1995,39
1996,40
1997,41
1998,42
1999,43
2000,44
2001,45
2002,46
2003,47
2004,48
2005,49
2006,50
2007,51
2008,52
2009,53
2010,54
2011,55
2012,56
2013,57
2014,58
2015,59
